Model,Accuracy,Precision,Recall,F1_Score
Logistic Regression,0.9720357941834452,0.6465863453815262,0.930635838150289,0.7630331753554502
Naive Bayes,0.9639261744966443,0.7291666666666666,0.4046242774566474,0.5204460966542751
Linear SVM,0.9893736017897091,0.8857142857142857,0.8959537572254336,0.8908045977011494
